id,user,date,timestamp,commentText,likes
z13gi5yowsjjydcc422eevppxsmdvham4,Max Kang,5 hours ago,1488453646474,I don't understand what makes those 200+ people dislike this vid?,0
z124wte4tq33idpbu04ch1op1subzryoe4o,ferro938,9 hours ago,1488453646476,I thought it was impossible to Play Something Genre now my world is distorted,0
z132tpqqquqqd5cxb04civqgnsrnelyrgfo,CheetaZz,15 hours ago (edited),1488453646477,"wish I could play this, so good,",0
z13mst0b2l2vwpjrd04cgdyrslvqz125x4c,RedNas,20 hours ago,1488453646491,"I'll tell you a riddle. You're waiting for a train, a train that will take you far away. You know where you hope this train will take you, but you don't know for sure. But it doesn't matter. How can it not matter to you where that train will take you?",0
z13pellqixutfvfwd04cj5g5rmvyyzmzucc,papaGimis22,1 day ago,1488367246493,Man if there is an instrument that reaches my heart and soul is a piano... Such a pure sound.... Calms me every time and travels my away.. :),0
z13pyrvxyujuitywd04cjnzgmkq3ujbpbjo,Chase null,1 day ago,1488367246494,I WANT A REAL PIANO SO BAD!!!!,0
z12ushvxmo3wtbplh23jspkiunnghbrdn,Hard Kill,2 days ago,1488280846494,Well...Just broke up.Have a good life everybody.,1
z13xgxzxswfsgn0ab04cjdagfrr2uh3jzg0,Louis M.,2 days ago,1488280846495,So beautiful,0
z12pzpkjwur1cp4dx23vcp0hikiccnyvh,houdic2,2 days ago,1488280846495,Hey can I ask how to use pedals in this song.,0
z13ssbpjyunmjic0kpyejxtixvmyxtwc1,Ilijas Ramic,2 days ago,1488280846496,well i wish I had a sharingan to copy his movements to play this all days,0
z12rc35qdx3df3pjz04cgjshooj0glwatdg,Logan Gwinup,3 days ago,1488194446497,Are these on iTunes?,0
z12twflimrnkt50e122rtdzr5vrifvrbl04,Ilijas Ramic,3 days ago,1488194446498,Thisnmade me cry and think about my mom how she died its been 6 year,0
z13vynriqxezvtznp23uch0ojkrzvbuyx04,Ruby,3 days ago,1488194446499,My hands are too small :(,0
z12kwlnoixyfgv51v23qh1jhjym3vjipu04,Gwen Timmermans,3 days ago,1488194446499,i want to be able to do this before is die,0
